Gender,Subsection name,First marriage preference,Children will be
Male,Group A,Group F,"Group K, Group L"
Female,Group B,Group E,"Group M, Group N"
Male,Group C,Group H,"Group I, Group J"
Female,Group D ,Group G,"Group O, Group P"
Male,Group E,Group B,"Group M, Group N"
Female,Group F,Group A,"Group K, Group L"
Male,Group G,Group D,"Group O, Group P"
Female,Group H,Group C,"Group I, Group J"
Male,Group I,Group N,"Group C, Group D"
Female,Group J,Group M,"Group E, Group F"
Male,Group K,Group P,"Group A, Group B"
Female,Group L,Group O,"Group G, Group H"
Male,Group M,Group J,"Group E, Group F"
Female,Group N,Group I,"Group C, Group D"
Male,Group O,Group L,"Group G, Group H"
Female,Group P,Group K,"Group A, Group B"
